time,vrms,irms,p_est,pf,vrms_raw,irms_raw,pactive_raw,pimag_raw,papparent_raw
2026-07-08T16:59:05,121.15745224966037,0.0,0.0,-0.427734375,13885,16,-2,6,7
2026-07-08T16:59:06,121.17685606968753,0.0,0.0,-0.5712890625,13887,16,-2,5,7
2026-07-08T16:59:07,121.22536561975546,0.0,0.0,-0.427734375,13892,16,-2,6,7
2026-07-08T16:59:08,121.17685606968753,0.0,0.0,-0.427734375,13887,16,-2,6,7
2026-07-08T16:59:09,121.31268280987774,0.0,0.0,-0.375,13901,16,-2,7,8
2026-07-08T16:59:10,121.26417325980981,0.0,0.0,-0.375,13896,16,-2,7,8
