enabled,event_id,time_after_start,phase,event_type,action,event_duration_minutes,advanced_value,advanced_units,expected_operational_states,target_volume_gal,expected_flow_gpm,notes,advanced_efficiency
TRUE,advanced_load_up_1,00:00:00,pre_event,cta,advanced_load_up,max,100,100_wh,3|6,,,,
TRUE,shed_1,00:00:00,event,cta,shed,max,,,2|4,,,,
TRUE,test_end,01:00:00,recovery,test,end,,,,,,,,
