enabled,event_id,time_after_start,phase,draw_type,event_type,action,event_duration_minutes,advanced_value,advanced_units,expected_operational_states,target_volume_gal,expected_flow_gpm,temp_drop_f,max_draw_minutes,notes,advanced_efficiency
TRUE,load_up_1,00:00:00,pre_event,,cta,load_up,max,,,3|6,,,,,,
TRUE,grid_emergency_1,01:30:00,event,,cta,grid_emergency,max,,,2|4,,,,,,
TRUE,load_up_2,04:40:00,recovery,,cta,load_up,max,,,3|6,,,,,,
TRUE,run_normal_1,05:40:00,recovery,,cta,run_normal,max,,,0|1,,,,,,
TRUE,water_draw_1,02:00:00,event,Volume,water_draw,water_draw,,,,,15,3,,,,
TRUE,water_draw_2,02:30:00,event,Volume,water_draw,water_draw,,,,,2,3,,,,
TRUE,water_draw_3,03:40:00,event,Volume,water_draw,water_draw,,,,,9,3,,,,
TRUE,test_end,06:00:00,recovery,,test,end,,,,,,,,,,
